LADC,index,index_scaled,PC,PC_O,PC_1
E01010414,536,1,WV2  4LP,WV2, 4LP
E01010426,"10,678",4,WV3  0DJ,WV3, 0DJ
E01010434,"9,121",3,WV10 6AZ,WV10,6AZ
E01010472,"3,901",2,WV7  3XY,WV7, 3XY
E01010472,"3,901",2,WV9  5HZ,WV9, 5HZ
E01010504,"22,721",7,WV6  0DU,WV6, 0DU
E01010522,"3,734",2,WV8  1WX,WV8, 1WX
E01010522,"3,734",2,WV98 1AA,WV98,1AA
E01010548,"13,681",5,WV16 8LE,WV16,8LE
E01010568,"22,050",7,BD17 6ER,BD17,6ER
E01010573,"22,094",7,BD16 3AR,BD16,3AR
E01010573,"22,094",7,LS20 8NT,LS20,8NT
E01010578,"17,225",6,BD21 5RA,BD21,5RA
E01010578,"17,225",6,BD97 1AD,BD97,1AD
E01010587,"21,551",7,BD9  6SA,BD9, 6SA
E01010587,"21,551",7,BD15 0HF,BD15,0HF
E01010590,"18,819",6,BD13 3RY,BD13,3RY
E01010594,"17,079",6,BD22 9SG,BD22,9SG
E01010596,"24,497",8,BD18 4BB,BD18,4BB
E01010597,"8,369",3,BD2  1NG,BD2, 1NG
E01010598,"15,148",5,BD3  0QS,BD3, 0QS
E01010599,"10,118",4,BD1  4SX,BD1, 4SX
E01010604,"15,966",5,BD10 8QH,BD10,8QH
E01010609,"1,737",1,BD4  7QX,BD4, 7QX
E01010615,"7,005",3,BD5  8LE,BD5, 8LE
E01010628,"4,978",2,BD14 6UA,BD14,6UA
E01010628,"4,978",2,BD8  0EA,BD8, 0EA
E01010638,"21,728",7,BD20 9BY,BD20,9BY
E01010646,"30,426",10,LS29 9JU,LS29,9JU
E01010648,"29,500",9,LS27 0XA,LS27,0XA
E01010658,"4,999",2,BD7  2HR,BD7, 2HR
E01010658,"4,999",2,BD99 9XG,BD99,9XG
E01010667,"3,573",2,BD6  3JN,BD6, 3JN
E01010683,"25,052",8,LS19 7EG,LS19,7EG
E01010732,"1,606",1,BD12 0YG,BD12,0YG
E01010760,"21,293",7,HX3  6SR,HX3, 6SR
E01010771,"32,338",10,LS21 3DP,LS21,3DP
E01010816,"18,038",6,BD11 2BY,BD11,2BY
E01010875,"28,512",9,HD6  2JY,HD6, 2JY
E01010877,"10,573",4,HX5  9JA,HX5, 9JA
E01010879,"22,888",7,HD5  0RW,HD5, 0RW
E01010879,"22,888",7,WF14 0BS,WF14,0BS
E01010881,"19,397",6,HX2  6XB,HX2, 6XB
E01010881,"19,397",6,HX7  5RR,HX7, 5RR
E01010892,"24,713",8,HD2  2EL,HD2, 2EL
E01010893,"11,296",4,HX1  2DX,HX1, 2DX
E01010896,"23,845",8,HD3  3YU,HD3, 3YU
E01010896,"23,845",8,HX4  9BZ,HX4, 9BZ
E01010908,"20,680",7,BD19 6PJ,BD19,6PJ
E01010922,"17,748",6,HX6  2RH,HX6, 2RH
E01011007,"12,926",4,HD1  3AN,HD1, 3AN
E01011009,"12,897",4,HD4  6SA,HD4, 6SA
E01011013,"21,803",7,WF12 7HU,WF12,7HU
E01011013,"21,803",7,WF3  1DP,WF3, 1DP
E01011013,"21,803",7,WF17 6ES,WF17,6ES
E01011019,"10,981",4,WF13 2HU,WF13,2HU
E01011021,"24,516",8,WF15 6YZ,WF15,6YZ
E01011021,"24,516",8,WF16 0EP,WF16,0EP
E01011109,"23,942",8,WF4  4AG,WF4, 4AG
E01011121,"3,952",2,WF5  9SX,WF5, 9SX
E01011193,"19,938",7,WF1  9WA,WF1, 9WA
E01011274,"5,330",2,LS18 4YN,LS18,4YN
E01011281,"4,014",2,LS12 2HS,LS12,2HS
E01011281,"4,014",2,LS13 2RU,LS13,2RU
E01011281,"4,014",2,LS5  3AF,LS5, 3AF
E01011281,"4,014",2,LS4  2HB,LS4, 2HB
E01011296,"29,062",9,LS15 4EB,LS15,4EB
E01011296,"29,062",9,LS25 2AD,LS25,2AD
E01011299,"18,596",6,WF10 2XB,WF10,2XB
E01011308,"18,838",6,LS26 8AR,LS26,8AR
E01011309,"20,051",7,LS14 3FA,LS14,3FA
E01011309,"20,051",7,LS23 6LT,LS23,6LT
E01011309,"20,051",7,LS24 9NP,LS24,9NP
